Participant,evidence_sequence,experience
2.0,"yes,no,yes,yes,yes,yes,yes,no,yes,no",Control
2.0,"yes,no,no,no,no,no,no,no,yes,no",Control
2.0,"yes,no,yes,no,no,yes,yes,yes,yes,yes",Control
2.0,"yes,no,yes,yes,no,no,yes,no,yes,yes",Control
2.0,"no,no,no,no,no,no,no,no,yes,yes",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,no,no,yes",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",Control
2.0,"no,yes,no,no,no,no,no,no,yes,no",Control
2.0,"yes,yes,no,yes,no,yes,yes,yes,no,yes",Control
2.0,"yes,yes,no,yes,yes,yes,yes,no,yes,yes",Control
2.0,"no,yes,yes,no,no,no,no,no,no,yes",Control
2.0,"yes,yes,yes,yes,yes,no,yes,yes,yes,no",Control
2.0,"yes,yes,no,yes,yes,yes,yes,yes,yes,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,yes,yes,yes,yes,yes,yes,no,yes",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",Control
2.0,"no,yes,yes,yes,yes,yes,no,yes,yes,yes",Control
2.0,"yes,no,yes,yes,yes,yes,yes,yes,yes,yes",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,yes,yes,yes,no,no,no,no,yes,no",Control
2.0,"yes,no,no,no,no,no,no,no,no,no",Control
2.0,"yes,no,no,no,no,no,no,no,no,no",Control
2.0,"yes,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,yes,no,no,yes,yes",Control
2.0,"no,yes,yes,yes,no,yes,no,yes,yes,yes",Control
2.0,"yes,yes,yes,yes,yes,no,yes,yes,yes,yes",Control
2.0,"no,no,no,no,no,no,yes,no,no,yes",Control
2.0,"yes,no,no,yes,yes,yes,yes,yes,no,no",Control
2.0,"yes,no,yes,yes,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,yes,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,yes,yes,no,no,no,no,yes,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,yes,no,yes,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,yes,yes,yes,yes,yes,yes,yes,yes,no",Control
2.0,"no,yes,yes,yes,yes,no,no,no,no,no",Control
2.0,"yes,no,yes,no,no,no,no,no,yes,yes",Control
2.0,"yes,yes,yes,no,no,no,no,no,no,no",Control
2.0,"no,no,no,yes,yes,yes,no,no,yes,yes",Control
2.0,"yes,yes,yes,no,no,no,no,yes,yes,yes",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,no,no,yes",Control
2.0,"yes,yes,yes,yes,yes,yes,no,yes,yes,yes",Control
2.0,"no,no,yes,no,no,no,no,yes,yes,yes",Control
2.0,"no,yes,no,yes,yes,yes,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"no,yes,yes,yes,yes,no,yes,no,yes,no",Control
2.0,"no,no,yes,no,no,no,no,no,no,no",Control
2.0,"no,yes,no,no,no,no,no,no,no,no",Control
2.0,"yes,yes,yes,yes,yes,yes,yes,no,no,no",Control
2.0,"no,yes,no,no,no,no,no,no,no,no",Control
2.0,"no,no,no,no,no,no,no,no,no,yes",Control
2.0,"no,no,no,no,no,no,no,no,no,no",Control
2.0,"yes,no,no,no,no,no,no,no,no,no",Control
4.0,"no,no,yes,no,yes,no,no,no,no,yes",FirstYear
4.0,"no,no,no,no,no,no,no,no,yes,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,yes",FirstYear
4.0,"no,yes,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,yes,no,no,no,no",FirstYear
4.0,"yes,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,yes,no,no",FirstYear
4.0,"no,yes,no,yes,yes,yes,no,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,no,no,yes,yes,no,no",FirstYear
4.0,"yes,yes,no,no,yes,no,no,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,yes,no,no,no,no,no",FirstYear
4.0,"no,no,yes,no,no,yes,no,no,no,no",FirstYear
4.0,"no,yes,yes,yes,yes,yes,yes,yes,yes,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,yes,yes,yes",FirstYear
4.0,"yes,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,yes,yes,yes,yes,yes,yes,yes,yes,no",FirstYear
4.0,"yes,yes,yes,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,yes,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,yes,yes,yes,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,yes,yes,yes,no,no,no",FirstYear
4.0,"no,no,no,yes,no,yes,no,no,no,no",FirstYear
4.0,"no,no,no,no,no,yes,yes,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,yes",FirstYear
4.0,"yes,yes,no,no,no,no,yes,yes,yes,no",FirstYear
4.0,"yes,yes,yes,no,yes,yes,yes,no,no,no",FirstYear
4.0,"yes,no,yes,no,no,no,no,yes,yes,yes",FirstYear
4.0,"no,yes,yes,yes,yes,no,no,yes,yes,no",FirstYear
4.0,"yes,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"no,yes,yes,no,no,no,no,yes,yes,yes",FirstYear
4.0,"yes,no,yes,yes,yes,yes,yes,yes,yes,yes",FirstYear
4.0,"yes,yes,yes,yes,yes,no,no,yes,yes,yes",FirstYear
4.0,"yes,no,no,yes,yes,yes,yes,no,no,no",FirstYear
4.0,"no,no,no,no,no,no,no,no,no,no",FirstYear
4.0,"yes,yes,yes,no,yes,yes,no,yes,yes,yes",FirstYear
7.0,"no,no,no,yes,yes,yes,no,no,yes,yes",Control
7.0,"no,no,yes,no,no,yes,yes,no,no,no",Control
7.0,"no,no,no,no,no,yes,yes,yes,no,yes",Control
7.0,"no,no,no,no,no,no,no,no,yes,no",Control
7.0,"no,yes,no,yes,no,no,no,no,yes,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"yes,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,yes,no,no,no,no,yes",Control
7.0,"yes,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,yes,yes,no,no,no,no,no,no",Control
7.0,"no,no,no,yes,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,yes,no,yes,yes,yes,yes,yes,no,no",Control
7.0,"yes,yes,yes,yes,no,no,yes,yes,yes,yes",Control
7.0,"no,yes,no,yes,no,no,yes,yes,yes,yes",Control
7.0,"no,no,no,no,no,yes,no,no,no,yes",Control
7.0,"yes,yes,yes,yes,yes,no,yes,yes,yes,no",Control
7.0,"yes,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,yes,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"yes,yes,yes,no,no,yes,yes,no,yes,yes",Control
7.0,"yes,yes,no,no,no,no,no,no,yes,no",Control
7.0,"no,no,no,no,yes,yes,no,yes,yes,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,yes,yes,no,no,no,yes,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,yes,no,yes,no,yes,yes",Control
7.0,"no,no,no,no,yes,yes,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,yes,no",Control
7.0,"no,no,no,no,no,no,no,yes,no,no",Control
7.0,"yes,yes,no,yes,yes,yes,no,yes,yes,yes",Control
7.0,"no,no,no,yes,no,no,yes,no,yes,yes",Control
7.0,"no,no,yes,yes,no,no,no,yes,no,no",Control
7.0,"yes,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,yes,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,no,no,no,no,no,no",Control
7.0,"no,no,no,no,yes,no,yes,yes,yes,yes",Control
